Tweet,Label,char_length,word_count
pagi buat emosi,Anger,15,3
kok stabilitas negara memange tahun negara aman bahkan sby subur ormas radikal intoleran teroris afiliasi partai tertentunarasi klhtn intelektual bodoh,Anger,151,20
lah emosi mulu lihat emyu,Anger,25,5
aib bodoh benar kata aib muncul lebih sudah tindak keji jangan kau sembunyi cara telaah masalah misal anak perempuan tempeleng apa kau tuju dia sikap bungkam lapor polisi adl benar lantas apa beda,Anger,196,33
dih kamu nyebelin bodoh,Anger,23,4
asli malu maluin orang indonesia tolol rep latah cilukba pakai huruf hijaiyah sama ngntd sama ganti huruf pakai salib tiktok filipin lewat fyp dan repnya ngtd semua dasar goblogg trend tiktok ter tolol,Anger,201,33
drama abg tolol,Anger,15,3
emosi sih sama katla kemarin mana terang begini hasil aci kzl,Anger,61,11
bangsat tribute nomor bencana nomor mau kalah kayak,Anger,51,8
pergi jauh terus teriak nang kencang kencang balik kalau sudah lupa segala wkwj kan tolol mustahil banget,Anger,105,17
allah mau marah bagaimana,Anger,25,4
silibus memang kbat gila babi bodoh buat silibus learning should fun,Anger,68,11
pagipagi dikerjain orang haha kira bodoh saya ladenin lahh lihat manaa,Anger,70,11
angka covid naik kalau lanjut acara offlinenya asli bodoh sih brand,Anger,67,11
bukan lebih sangar sih kalau turut goblokk bin tolol ingetin baik malah acuh,Anger,76,13
mas ngelonte dulu mas biar otak jadi seger bagi orang kafir kamu ngewe lonte ibadah utama punya tolol kok banget banget sih,Anger,123,22
marah,Anger,5,1
tolol banget mana cinta ada mimpi kejar kejar setan semalem asu bocil nih iya iya kalau bicara,Anger,94,17
izinin suami poligami buat hindar zina tertawa banget heh mmngnya nabi poligami gegara mata keranjang terus sangean terus niat zina biar zina jadi dinikahin lirik cewek nyebarin ajar agama tolol ajar agama sana,Anger,210,33
nyerah joki kali tugas poem allah saya bodoh ing,Anger,48,9
hah kaya dendam bnaget sama ibu,Anger,31,6
huahh benci covid bangett moga henti jimin ada jungkook juga taehyung nomor god pliss,Anger,85,14
benci banget sama diri sendiri gampang nang kalau ngobrol sama orang tua,Anger,72,12
geng lgbt patutle libtard gay bodoh tahi,Anger,40,7
iya tvn kan suka pancing emosi tonton,Anger,37,7
sei baru bangun tidur bikin emosi,Anger,33,6
mau marah bangeett orang orang jahat banget,Anger,43,7
kadang suka emosi baca begini orang goblog emang susah kalau ajak ngobrol,Anger,73,12
mutajir mancing emosi sih pagi,Anger,30,5
saya baca panjangpanjang kirain analisis bakal boom ternyta hasil pikir otak pendek tolol,Anger,89,13
emosi bung,Anger,10,2
mvp kene marah capai kpi,Anger,24,5
opini kamu jelek bro tutup keburu agama kamu benar poligami hindar zina tolol palkon banyak bacot ttg agama begini,Anger,114,19
kapan manajemen ubah biar lempar lempar begini anjimm orang tuh butuh tangan cepat bukan bolak balik ribet emosi kan ajgg,Anger,121,20
turun ayam kupang baik buat polisi maju industri sumber makan negara negara tropika kot apa jadah harap makan terna import bodoh sangat orang malaysia dedak ayam tidak buat sendiri,Anger,180,29
unesco orang arab hahaa kata benci anis,Anger,39,7
satu kata jangan undi semua bodoh,Anger,33,6
diam jawab baik hadap orang bodoh,Anger,33,6
sangat tolol bbm langkaberas mahal cuma sarap jagung ubi berangkat sekolah sekitar,Anger,82,12
bangsat akun hack,Anger,17,3
lah kakak yang umur manggil yang umur apa anjrit kalau bukan adek anak tunggal anak perempuan satu punya ayah ibu saya begitu tolol,Anger,131,23
betul punya marah,Anger,17,3
nyata yang lebih bodoh saya jauh malah,Anger,38,7
nya hukum mati bangsat rusak nama sumut dia,Anger,43,8
hmm siapa yang saya benci,Anger,25,5
tyhan tidak kuat banget bangsat,Anger,31,5
sumpah emosi banget yoo,Anger,23,4
nama orang prik bin tolol,Anger,25,5
faisal basri lagi kena stroke kan tiba mental retarded ciri khas jokowi tukar sama sby pak faisal jangan bangsat drun,Anger,117,20
dipta kamu jangan bodoh tidak,Anger,29,5
iya anjrott jangan jangan punya dendam sama,Anger,43,7
apa beda coba awal chat huruf kapital apa sahabat kamu kok tolol,Anger,64,12
bangsat mang kamu,Anger,17,3
bisa masak ini ada bekal main benda tajam minyak panas jadi harga dan jangan bikin marah,Anger,88,16
bodoh begi diba astaga,Anger,22,4
baik tolol moga orang tua sehat terus lancar rejeki biar usah saya ngandelin saudara kaya anjing,Anger,96,16
bangsat,Anger,7,1
kau pernah rancang jatuh orang kau benci perempuan kah,Anger,54,9
hah bodoh kali kau pantek,Anger,25,5
emosi mlu nnti jadi burag loh,Anger,29,6
yaa kann rasa capek cuma lari jadi lot bangett emosi,Anger,52,10
shipper belah kalau suka sama noren ush mampir tau benci sama noren malah baca nya kocak bngt kamu,Anger,98,18
sempat nak balas dendam minggu depan mesti sakit hilang waktu,Anger,61,10
islamofobisbuzzerp njing pil komunis laku maksiat ingin cari benar atas laku para bbi kafir cundang debat teologis akademis ingin lampias dendam kalah,Anger,150,22
iya juwi emosi nih pagi,Anger,23,5
benci kata jenuh,Anger,16,3
benci sekolah,Anger,13,2
bacoot kadrun emang bangsat,Anger,27,4
bangsat berani main sosmed,Anger,26,4
ajar anak lelaki opini jangan lewat tolol,Anger,41,7
kamu nyinyirn sma antek nya harap marah tenang punya jurus jitu balas pakai solawatan dzolim kesel sendiri kan hahaha,Anger,117,19
usah kaget kalau tiba jadi benci sama saudara dasar orang tau diri benalu kacang lupa kulit bajing sama saudara sendiri,Anger,119,20
hahah bangsat,Anger,13,2
tuh kamu tau definisi adek sih kamu ilah bikin emosi,Anger,52,10
nonton sis going emosi mulu yah sekarang nontonnya udahlah ikutin,Anger,65,10
agama lurus tuhan yme jadi bengkok hingga macam sebab ada orang bodoh sesat itu banyak zaman dulu motif tetap sama untuk penting perut sekitar,Anger,142,24
mimpi kok dukung keparnoan bangun bangsat banget bete mending usah tdr apa,Anger,74,12
haah ajar chargeman sekali kerja amik former kat kilang jadi worker orang atas kejap okay kejap okay nak ikut cakap macam kerja pernah siap kimak semua kerja siap bodoh nak pekak baruah,Anger,185,32
woii bodok kalau semua komplain beropiniberargumenberpendapat kawan mngenai kbijakan perintah buat apa pileg laku goblok pelihara kamu laku malah buat anggota legislatif hormat makan gaji buta tolol dapat aggota dewan gaji umr tiap bulan,Anger,237,34
serah masa bodoh kamu suka bahkan benci rasa kesal juga hilang,Anger,62,11
jangan rakyat benci,Anger,19,3
kira menfess belum kamu mau ngejokes nyata bodoh beneran wkwk kamu tau definisi adik bagaimana semua orang nyebut saudara kandang lebih muda adik usah nyuruh orang buat ngaku deh kamu yang berfikir bodoh jelas kamu,Anger,214,35
marah btol bang,Anger,15,3
auto belit apa memang orang marah bila kena kencing gov india indira gandhi guna perkara bagai peluang politikus sebab ltte bunuh indira gandhi pergi baca sejarah ltte itu wujud sama langsung macam talib,Anger,203,33
cok pagi pagi buat emosi,Anger,24,5
sabar emosi ada dalam diri,Anger,26,5
benci tasik benci jakarta,Anger,25,4
seperti opung dendam,Anger,20,3
aduh bangsat ganteng banget orang,Anger,33,5
paling benci kalau diem terus panik sendiri tau bingung,Anger,55,9
kalau cerita kat laki pasal mimpi malam tadi mesti kena marah,Anger,61,11
bangsat ntarnta nang haha kecut nada tolol mati kamu,Anger,52,9
bodoh punya kalimat baik minum arak lacur main judi baru betul thrill,Anger,69,12
ngaku lah bodoh ngajak nder nganggep adek cuma anak kecil kamu,Anger,62,11
jadi soft malah emosi,Anger,21,4
kamu jangan bikin marah,Anger,23,4
jarina hasebe hobi omel marah marah,Anger,35,6
capee puasa saja bikin marah nya,Anger,32,6
anjing brengsek bangsat,Anger,23,3
emosi yaa,Anger,9,2
tahu nak luah kat siapa asa bodoh gila,Anger,38,8
benci karakter cheol itu lihat han sakit hati harus ditegesin dulu baru peka masalah his feeling towards the way treated han that hate the most dipermainin banget haha jerk,Anger,172,29
poin oke poin lanjut lho cowok marah baca,Anger,41,8
kamu emosi,Anger,10,2
kalau mau poligami ikut sunah rosul tunggu istri pertama tinggal dulu kamu nikah sama nene sudah tua miskin buat urus bukan mau enak nya tolol,Anger,142,25
betul orang cakap kalau bodoh bukan nama,Anger,40,7
kalau bad hari sangat tidak hak nak emosi kat orang tidak professional,Anger,70,12
pagi pagi bangun fucked bodoh,Anger,29,5
percaya benci kalau suka diem ngomong langsung saya tidak gigit elah kamu cowok gentle dong masa kalah sama gentle jen,Anger,118,20
akhir bangun siang bodoh tidak salat subuh,Anger,42,7
purapura tau bohong hakiki entah purapura bodoh nanti akan tahu sendiri biar waktu tunjuk,Anger,89,14
tetap nama selingkuh kok tolol banget banyak alesan,Anger,51,8
nah yang ksl lah lihat bright sama soal phinong banget yang benci kalau begitu suka ngelunjak anjr fans nya mana ngejelekin iwin terus sudah asa real banget padahal cmn fanservice,Anger,179,30
dendam sama ntu orang,Anger,21,4
sange sama perempuan puasa tahan diri jaga pandang bukan poligami bangsat kamu miskin gegayaan poligami tuh bagaimana cerita istri jelek urus kamu kasih duit langsung ditinggalin heran kenapa lakilaki punya otak pakai,Anger,217,32
